Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
B1,23/07/2021,19:45,Standard,Genk,1,1,D,2.76,3.74,2.48,3.29,3.91,2.11,2.05,1.85,0,0.25,1.56,2.52,2.5
B1,24/07/2021,15:15,Oud-Heverlee Leuven,Waregem,1,1,D,2.06,3.77,3.46,1.97,4.11,3.52,1.97,1.92,-0.5,-0.5,1.44,2.85,2.5
B1,24/07/2021,17:30,Kortrijk,Seraing,2,0,H,1.8,3.8,4.5,1.78,3.88,4.6,2.03,1.87,-0.75,-0.75,1.83,2.05,2.5
B1,24/07/2021,19:45,Oostende,Charleroi,0,3,A,2.29,3.52,3.14,2.25,3.53,3.27,1.94,1.94,-0.25,-0.25,1.89,1.98,2.5
B1,25/07/2021,12:30,Mechelen,Antwerp,3,2,H,2.85,3.5,2.49,2.16,3.8,3.26,2.15,1.76,0,-0.5,1.69,2.23,2.5
B1,25/07/2021,15:00,Club Brugge,Eupen,2,2,D,1.19,7.06,14.84,1.22,6.83,12.95,1.84,2.04,-2,-1.75,1.39,3.07,2.5
B1,25/07/2021,17:30,Anderlecht,St. Gilloise,1,3,A,1.57,4.31,5.65,2.08,3.33,3.95,2.08,1.83,-1,-0.5,1.98,1.88,2.5
B1,25/07/2021,20:00,St Truiden,Gent,2,1,H,4.62,3.95,1.75,4.62,3.71,1.82,1.85,2.05,0.75,0.75,1.82,2.04,2.5
B1,27/07/2021,17:30,Beerschot VA,Cercle Brugge,0,1,A,2.33,3.4,3.16,2.44,3.36,3.07,2.09,1.81,-0.25,-0.25,2.12,1.76,2.5
B1,30/07/2021,19:45,Genk,Oostende,3,4,A,1.59,4.23,5.85,1.52,4.5,6.44,2.02,1.87,-1,-1.25,1.49,2.68,2.5
B1,31/07/2021,15:15,Charleroi,St Truiden,0,0,D,2.04,3.7,3.58,1.91,3.57,4.34,1.91,1.98,-0.5,-0.5,2.12,1.76,2.5
B1,31/07/2021,17:30,Cercle Brugge,Oud-Heverlee Leuven,1,1,D,2.38,3.78,2.82,2.07,3.7,3.57,1.79,2.1,-0.25,-0.25,1.71,2.2,2.5
B1,31/07/2021,17:30,Seraing,Mechelen,1,0,H,3.57,4.02,1.95,4.09,4.14,1.82,2.07,1.81,0.5,0.5,1.54,2.58,2.5
