Div,DateTime,HomeTeam,AwayTeam
SC2,16.04.2022 14:00,Airdrieonians,Dumbarton
SC2,16.04.2022 14:00,Clyde,Montrose
SC2,16.04.2022 14:00,Cove Rangers,Alloa Athletic
SC2,16.04.2022 14:00,East Fife,Falkirk
SC2,16.04.2022 14:00,Peterhead,Queen's Park
SC2,23.04.2022 14:00,Clyde,Airdrieonians
SC2,23.04.2022 14:00,Cove Rangers,Dumbarton
SC2,23.04.2022 14:00,Falkirk,Alloa Athletic
SC2,23.04.2022 14:00,Montrose,Queen's Park
SC2,23.04.2022 14:00,Peterhead,East Fife
SC2,30.04.2022 14:00,Airdrieonians,Peterhead
SC2,30.04.2022 14:00,Alloa Athletic,Montrose
SC2,30.04.2022 14:00,Dumbarton,Clyde
SC2,30.04.2022 14:00,East Fife,Cove Rangers
SC2,30.04.2022 14:00,Queen's Park,Falkirk
