Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
P1,18/09/2020,19:00,Famalicao,Benfica,1,5,A,8.3,4.92,1.41,9.34,5.18,1.36,1.86,2.06,1.25,1.5,1.64,2.35,2.5
P1,18/09/2020,21:15,Guimaraes,Belenenses,0,1,A,1.51,4.31,7.29,1.52,4.37,7.02,1.89,2.02,-1,-1,1.99,1.9,2.5
P1,19/09/2020,16:00,Nacional,Boavista,3,3,D,2.6,3.09,3.02,2.75,3.02,3.01,1.87,2.05,0,0,2.67,1.52,2.5
P1,19/09/2020,21:00,Porto,Sp Braga,3,1,H,1.62,3.95,5.82,1.69,4.02,5.2,1.9,2.01,-0.75,-0.75,1.78,2.11,2.5
P1,20/09/2020,16:00,Santa Clara,Maritimo,2,0,H,2.29,3.01,3.71,2.49,2.97,3.45,2.08,1.84,-0.25,-0.25,2.88,1.46,2.5
P1,20/09/2020,18:30,Moreirense,Farense,2,0,H,2.31,3.14,3.48,2.22,3.21,3.76,1.88,2.03,-0.25,-0.25,2.43,1.61,2.5
P1,20/09/2020,21:00,Tondela,Rio Ave,1,1,D,3.94,3.25,2.09,4.37,3.42,1.97,1.93,1.97,0.25,0.5,2.4,1.62,2.5
P1,21/09/2020,19:45,Portimonense,Pacos Ferreira,1,1,D,2.25,3.24,3.5,2.42,3.1,3.42,2.04,1.87,-0.25,-0.25,2.55,1.56,2.5
P1,25/09/2020,20:30,Sp Braga,Santa Clara,0,1,A,1.46,4.38,8.45,1.45,4.52,8.22,2.07,1.85,-1,-1.25,1.73,2.19,2.5
P1,26/09/2020,15:30,Maritimo,Tondela,2,1,H,2.31,3.21,3.54,2.12,3.3,3.94,1.81,2.12,-0.25,-0.25,2.47,1.59,2.5
P1,26/09/2020,18:30,Benfica,Moreirense,2,0,H,1.15,8.61,20.54,1.14,8.89,20.9,2.05,1.85,-2.25,-2.25,1.41,2.99,2.5
P1,26/09/2020,21:00,Boavista,Porto,0,5,A,,,,,,,,,1.25,1.5,,,2.5
P1,27/09/2020,15:30,Farense,Nacional,0,1,A,2.01,3.45,3.99,2.48,3.24,3.11,2.11,1.8,-0.25,-0.25,2.25,1.68,2.5
P1,27/09/2020,16:00,Gil Vicente,Portimonense,1,0,H,2.77,3.17,2.85,3.27,3.2,2.44,1.85,2.07,0,0.25,2.45,1.6,2.5
P1,27/09/2020,18:30,Pacos Ferreira,Sp Lisbon,0,2,A,3.84,3.15,2.22,3.7,3.22,2.24,2.01,1.9,0.25,0.25,2.44,1.6,2.5
P1,27/09/2020,21:00,Rio Ave,Guimaraes,0,0,D,2.92,3.36,2.58,3.25,3.27,2.41,1.86,2.06,0,0.25,2.27,1.68,2.5
P1,28/09/2020,19:45,Belenenses,Famalicao,1,2,A,2.64,3.11,3.06,2.59,3.2,3.05,1.8,2.13,0,0,2.25,1.69,2.5
