Div,DateTime,HomeTeam,AwayTeam
E3,15.04.2022 12:00,Exeter City,Colchester United
E3,15.04.2022 14:00,Walsall,Carlisle United
E3,15.04.2022 14:00,Barrow,Forest Green Rovers
E3,15.04.2022 14:00,Bradford City,Tranmere Rovers
E3,15.04.2022 14:00,Bristol Rovers,Salford City
E3,15.04.2022 14:00,Harrogate Town,Swindon Town
E3,15.04.2022 14:00,Hartlepool United,Port Vale
E3,15.04.2022 14:00,Leyton Orient,Scunthorpe United
E3,15.04.2022 14:00,Mansfield Town,Sutton United
E3,15.04.2022 14:00,Newport County,Crawley Town
E3,15.04.2022 14:00,Oldham Athletic,Northampton Town
E3,15.04.2022 14:00,Stevenage,Rochdale
E3,18.04.2022 14:00,Forest Green Rovers,Oldham Athletic
E3,18.04.2022 14:00,Scunthorpe United,Stevenage
E3,18.04.2022 14:00,Northampton Town,Harrogate Town
E3,18.04.2022 14:00,Port Vale,Bristol Rovers
E3,18.04.2022 14:00,Rochdale,Hartlepool United
E3,18.04.2022 14:00,Salford City,Barrow
E3,18.04.2022 14:00,Crawley Town,Walsall
E3,18.04.2022 14:00,Colchester United,Bradford City
E3,18.04.2022 14:00,Carlisle United,Mansfield Town
E3,18.04.2022 14:00,Sutton United,Newport County
E3,18.04.2022 14:00,Swindon Town,Leyton Orient
E3,18.04.2022 14:00,Tranmere Rovers,Exeter City
E3,22.04.2022 18:45,Newport County,Colchester United
E3,23.04.2022 14:00,Oldham Athletic,Salford City
E3,23.04.2022 14:00,Stevenage,Tranmere Rovers
E3,23.04.2022 14:00,Walsall,Port Vale
E3,23.04.2022 14:00,Barrow,Sutton United
E3,23.04.2022 14:00,Bradford City,Scunthorpe United
E3,23.04.2022 14:00,Bristol Rovers,Forest Green Rovers
E3,23.04.2022 14:00,Exeter City,Rochdale
E3,23.04.2022 14:00,Harrogate Town,Carlisle United
E3,23.04.2022 14:00,Hartlepool United,Swindon Town
E3,23.04.2022 14:00,Leyton Orient,Northampton Town
E3,23.04.2022 14:00,Mansfield Town,Crawley Town
E3,26.04.2022 18:45,Mansfield Town,Stevenage
E3,26.04.2022 18:45,Swindon Town,Forest Green Rovers
E3,26.04.2022 18:45,Exeter City,Barrow
E3,26.04.2022 18:45,Sutton United,Crawley Town
E3,30.04.2022 14:00,Swindon Town,Barrow
E3,30.04.2022 14:00,Tranmere Rovers,Oldham Athletic
E3,30.04.2022 14:00,Sutton United,Bradford City
E3,30.04.2022 14:00,Scunthorpe United,Hartlepool United
E3,30.04.2022 14:00,Rochdale,Bristol Rovers
E3,30.04.2022 14:00,Northampton Town,Exeter City
E3,30.04.2022 14:00,Forest Green Rovers,Harrogate Town
E3,30.04.2022 14:00,Crawley Town,Leyton Orient
E3,30.04.2022 14:00,Colchester United,Walsall
E3,30.04.2022 14:00,Carlisle United,Stevenage
E3,02.05.2022 11:30,Salford City,Mansfield Town
E3,02.05.2022 14:00,Port Vale,Newport County
E3,07.05.2022 14:00,Walsall,Swindon Town
E3,07.05.2022 14:00,Stevenage,Salford City
E3,07.05.2022 14:00,Oldham Athletic,Crawley Town
E3,07.05.2022 14:00,Newport County,Rochdale
E3,07.05.2022 14:00,Mansfield Town,Forest Green Rovers
E3,07.05.2022 14:00,Leyton Orient,Tranmere Rovers
E3,07.05.2022 14:00,Hartlepool United,Colchester United
E3,07.05.2022 14:00,Harrogate Town,Sutton United
E3,07.05.2022 14:00,Exeter City,Port Vale
E3,07.05.2022 14:00,Bristol Rovers,Scunthorpe United
E3,07.05.2022 14:00,Bradford City,Carlisle United
E3,07.05.2022 14:00,Barrow,Northampton Town
