Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
F1,09/08/2019,19:45,Monaco,Lyon,0,3,A,2.95,3.57,2.43,3.37,3.65,2.19,2.01,1.9,0,0.25,1.83,2.07,2.5
F1,10/08/2019,16:30,Marseille,Reims,0,2,A,1.65,3.82,6.06,1.78,3.39,5.7,2.05,1.87,-0.75,-0.75,2.16,1.76,2.5
F1,10/08/2019,19:00,Angers,Bordeaux,3,1,H,2.34,3.29,3.35,2.1,3.24,4.08,1.79,2.15,-0.25,-0.25,2.67,1.52,2.5
F1,10/08/2019,19:00,Brest,Toulouse,1,1,D,2.42,3.33,3.17,2.1,3.44,3.81,2.1,1.83,-0.25,-0.5,2.09,1.81,2.5
F1,10/08/2019,19:00,Dijon,St Etienne,1,2,A,3.69,3.46,2.13,3.84,3.47,2.08,2.14,1.79,0.25,0.25,2.04,1.85,2.5
F1,10/08/2019,19:00,Montpellier,Rennes,0,1,A,2.32,3.28,3.4,2.29,3.26,3.49,1.96,1.96,-0.25,-0.25,2.34,1.66,2.5
F1,10/08/2019,19:00,Nice,Amiens,2,1,H,2.2,3.01,4.11,2.36,3.01,3.64,1.99,1.93,-0.25,-0.25,2.78,1.48,2.5
F1,11/08/2019,14:00,Lille,Nantes,2,1,H,1.99,3.14,4.84,2.42,3.03,3.5,2.04,1.88,-0.5,-0.25,2.45,1.6,2.5
F1,11/08/2019,16:00,Strasbourg,Metz,1,1,D,2.07,3.3,4.11,2.33,3,3.74,1.97,1.95,-0.5,-0.25,2.87,1.46,2.5
F1,11/08/2019,20:00,Paris SG,Nimes,3,0,H,1.1,10.78,28.65,1.08,12.97,31.01,2.08,1.82,-2.5,-3,1.24,4.22,2.5
F1,16/08/2019,19:45,Lyon,Angers,6,0,H,1.51,4.51,6.74,1.52,4.62,6.6,1.86,2.06,-1,-1,1.65,2.36,2.5
F1,17/08/2019,16:30,Nantes,Marseille,0,0,D,2.62,3.16,3.01,2.53,3.19,3.12,2.15,1.79,0,-0.25,2.26,1.7,2.5
F1,17/08/2019,19:00,Amiens,Lille,1,0,H,3.3,3.15,2.44,3.3,3.15,2.44,1.85,2.07,0.25,0.25,2.48,1.59,2.5
F1,17/08/2019,19:00,Bordeaux,Montpellier,1,1,D,2.79,3,2.96,2.65,2.99,3.15,1.79,2.14,0,0,2.74,1.5,2.5
F1,17/08/2019,19:00,Metz,Monaco,3,0,H,3.05,3.15,2.6,3.19,3.19,2.48,1.81,2.11,0,0.25,2.44,1.61,2.5
F1,17/08/2019,19:00,Nimes,Nice,1,2,A,2.15,3.45,3.63,2.11,3.45,3.76,1.81,2.11,-0.25,-0.25,2.18,1.75,2.5
F1,17/08/2019,19:00,Toulouse,Dijon,1,0,H,2.02,3.49,4.03,2.02,3.5,4.04,2.02,1.9,-0.5,-0.5,2.08,1.82,2.5
F1,18/08/2019,14:00,St Etienne,Brest,1,1,D,1.63,3.99,5.94,1.64,3.91,6.05,2.16,1.78,-1,-1,1.83,2.06,2.5
F1,18/08/2019,16:00,Reims,Strasbourg,0,0,D,2.07,3.21,4.25,2.12,3.09,4.25,2.12,1.8,-0.5,-0.5,2.7,1.51,2.5
F1,18/08/2019,20:00,Rennes,Paris SG,2,1,H,7.57,5.61,1.38,8.36,5.28,1.39,1.83,2.09,1.5,1.5,1.6,2.46,2.5
F1,24/08/2019,19:00,Amiens,Nantes,1,2,A,2.77,3.09,2.91,2.87,3.01,2.87,1.96,1.96,0,0,2.79,1.48,2.5
F1,24/08/2019,19:00,Angers,Metz,3,0,H,2.18,3.2,3.88,2.17,3.16,3.96,1.84,2.08,-0.25,-0.25,2.79,1.48,2.5
F1,24/08/2019,19:00,Brest,Reims,1,0,H,2.71,3.13,2.93,2.7,3.1,2.98,1.86,2.06,0,0,2.44,1.61,2.5
F1,24/08/2019,19:00,Dijon,Bordeaux,0,2,A,2.71,3.36,2.75,3,3.1,2.68,2.07,1.85,0,0,2.61,1.54,2.5
F1,25/08/2019,14:00,Monaco,Nimes,2,2,D,1.63,4.23,5.47,1.67,3.95,5.56,1.88,2.04,-1,-0.75,1.93,1.97,2.5
F1,25/08/2019,16:00,Strasbourg,Rennes,0,2,A,2.73,3.16,2.89,2.87,3.16,2.74,2,1.92,0,0,2.38,1.64,2.5
F1,25/08/2019,20:00,Paris SG,Toulouse,4,0,H,1.12,10.69,22.86,1.1,12.04,25.7,1.99,1.93,-2.75,-2.75,1.23,4.5,2.5
F1,27/08/2019,18:00,Montpellier,Lyon,1,0,H,3.7,3.6,2.08,3.99,3.65,1.99,1.93,1.99,0.25,0.5,1.93,1.97,2.5
F1,28/08/2019,18:00,Lille,St Etienne,3,0,H,2.27,3.48,3.3,2.16,3.43,3.63,1.86,2.06,-0.25,-0.25,2.07,1.83,2.5
F1,28/08/2019,20:00,Nice,Marseille,1,2,A,3.1,3.26,2.5,3.57,3.28,2.25,1.99,1.93,0.25,0.25,2.55,1.56,2.5
F1,30/08/2019,19:45,Metz,Paris SG,0,2,A,7.62,4.81,1.44,6.55,4.51,1.52,2.03,1.89,1.25,1,1.8,2.11,2.5
F1,31/08/2019,16:30,Lyon,Bordeaux,1,1,D,1.39,5.08,8.61,1.55,4.08,6.97,1.98,1.94,-1.25,-1,1.86,2.04,2.5
F1,31/08/2019,19:00,Angers,Dijon,2,0,H,1.71,3.93,5.18,1.7,3.88,5.39,1.94,1.98,-0.75,-0.75,2.16,1.76,2.5
F1,31/08/2019,19:00,Nantes,Montpellier,1,0,H,2.29,3.07,3.73,2.64,3.08,3.06,2.23,1.73,-0.25,-0.25,2.53,1.57,2.5
F1,31/08/2019,19:00,Nimes,Brest,3,0,H,2.11,3.41,3.82,2,3.45,4.2,2,1.92,-0.25,-0.5,1.99,1.91,2.5
F1,31/08/2019,19:00,Toulouse,Amiens,2,0,H,2.17,3.22,3.87,2.32,3.16,3.55,1.97,1.95,-0.25,-0.25,2.2,1.74,2.5
F1,01/09/2019,14:00,Reims,Lille,2,0,H,2.95,3.01,2.79,2.98,3,2.77,2.03,1.88,0,0,2.79,1.48,2.5
F1,01/09/2019,14:00,Rennes,Nice,1,2,A,1.72,3.59,5.81,1.74,3.66,5.43,2,1.92,-0.75,-0.75,2.05,1.85,2.5
F1,01/09/2019,16:00,Strasbourg,Monaco,2,2,D,2.7,3.25,2.85,2.51,3.27,3.08,2.14,1.79,0,-0.25,2.11,1.79,2.5
F1,01/09/2019,20:00,Marseille,St Etienne,1,0,H,2.01,3.57,4.01,1.84,3.51,4.96,2.13,1.79,-0.5,-0.75,2.01,1.88,2.5
F1,13/09/2019,18:00,Lille,Angers,2,1,H,1.99,3.33,4.47,1.93,3.4,4.64,1.93,1.99,-0.5,-0.5,2.25,1.7,2.5
F1,13/09/2019,19:45,Amiens,Lyon,2,2,D,5.18,3.77,1.75,4.32,3.55,1.94,1.98,1.94,0.75,0.5,1.98,1.93,2.5
F1,14/09/2019,16:30,Paris SG,Strasbourg,1,0,H,1.21,7.54,13.41,1.17,8.62,15.33,1.85,2.07,-2,-2,1.4,3.12,2.5
F1,14/09/2019,19:00,Bordeaux,Metz,2,0,H,1.83,3.56,4.88,2.08,3.11,4.39,2.08,1.84,-0.5,-0.5,2.86,1.46,2.5
F1,14/09/2019,19:00,Brest,Rennes,0,0,D,3.3,3.2,2.41,3.26,3.19,2.44,1.85,2.08,0.25,0.25,2.13,1.78,2.5
F1,14/09/2019,19:00,Dijon,Nimes,0,0,D,2.76,3.44,2.65,2.86,3.38,2.6,2.05,1.86,0,0,2.01,1.89,2.5
F1,14/09/2019,19:00,Montpellier,Nice,2,1,H,1.93,3.35,4.73,2.01,3.5,4.08,2.01,1.91,-0.5,-0.5,2.1,1.8,2.5
F1,15/09/2019,14:00,Nantes,Reims,1,0,H,2.2,2.98,4.18,2.25,3.09,3.82,1.91,2.01,-0.25,-0.25,2.61,1.54,2.5
F1,15/09/2019,16:00,St Etienne,Toulouse,2,2,D,1.67,4.14,5.22,1.63,4.2,5.54,2.13,1.8,-0.75,-1,1.68,2.29,2.5
F1,15/09/2019,20:00,Monaco,Marseille,3,4,A,2.41,3.69,2.91,2.07,3.68,3.66,1.79,2.14,-0.25,-0.25,1.88,2.02,2.5
F1,20/09/2019,19:45,Strasbourg,Nantes,2,1,H,2.6,3.08,3.13,2.41,3.07,3.47,2.04,1.88,0,-0.25,2.71,1.51,2.5
F1,21/09/2019,16:30,Marseille,Montpellier,1,1,D,2.02,3.29,4.37,2.03,3.32,4.26,2.03,1.88,-0.5,-0.5,2.32,1.67,2.5
F1,21/09/2019,19:00,Bordeaux,Brest,2,2,D,1.76,3.55,5.5,1.79,3.5,5.39,2.06,1.85,-0.75,-0.75,2.25,1.7,2.5
F1,21/09/2019,19:00,Metz,Amiens,1,2,A,2.09,3.14,4.32,2.33,2.97,3.8,1.96,1.96,-0.5,-0.25,2.65,1.52,2.5
