Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
F1,21/08/2020,18:00,Bordeaux,Nantes,0,0,D,2.48,3.03,3.33,2.71,2.97,3.02,1.85,2.07,-0.25,0,2.89,1.46,2.5
F1,22/08/2020,16:00,Dijon,Angers,0,1,A,2.79,3.09,2.84,3.36,3.07,2.44,1.85,2.06,0,0.25,2.72,1.5,2.5
F1,22/08/2020,20:00,Lille,Rennes,1,1,D,2.3,3.22,3.47,1.92,3.47,4.52,1.92,2,-0.25,-0.5,2.33,1.66,2.5
F1,23/08/2020,12:00,Monaco,Reims,2,2,D,1.95,3.53,4.24,1.95,3.43,4.42,1.95,1.97,-0.5,-0.5,2.4,1.63,2.5
F1,23/08/2020,14:00,Lorient,Strasbourg,3,1,H,2.62,3.19,2.96,2.45,3.15,3.25,2.09,1.83,0,-0.25,2.52,1.57,2.5
F1,23/08/2020,14:00,Nimes,Brest,4,0,H,2.29,3.39,3.32,2.35,3.38,3.2,2.03,1.89,-0.25,-0.25,2.05,1.85,2.5
F1,23/08/2020,16:00,Nice,Lens,2,1,H,2.05,3.36,4.06,2.02,3.38,4.16,2.02,1.9,-0.5,-0.5,2.25,1.7,2.5
F1,28/08/2020,20:00,Lyon,Dijon,4,1,H,1.31,5.68,10.21,1.25,6.32,13.01,2,1.92,-1.5,-1.75,1.61,2.46,2.5
F1,29/08/2020,16:00,Rennes,Montpellier,2,1,H,2.07,3.31,3.97,1.86,3.55,4.59,1.86,2.06,-0.5,-0.5,2.29,1.68,2.5
F1,29/08/2020,20:00,Strasbourg,Nice,0,2,A,2.28,3.35,3.32,2.09,3.39,3.78,1.8,2.13,-0.25,-0.25,2.18,1.75,2.5
F1,30/08/2020,12:00,Reims,Lille,0,1,A,3.07,2.99,2.64,3.21,2.89,2.63,2.17,1.77,0,0,2.9,1.46,2.5
F1,30/08/2020,14:00,Angers,Bordeaux,0,2,A,2.32,3.13,3.47,2.25,3.05,3.78,1.91,2.01,-0.25,-0.25,2.82,1.48,2.5
F1,30/08/2020,14:00,Metz,Monaco,0,1,A,3.81,3.61,2.02,3.99,3.74,1.93,1.99,1.93,0.5,0.5,1.93,1.97,2.5
F1,30/08/2020,14:00,Nantes,Nimes,2,1,H,1.99,3.27,4.42,1.93,3.36,4.58,1.93,1.99,-0.5,-0.5,2.22,1.73,2.5
F1,30/08/2020,14:00,St Etienne,Lorient,2,0,H,2.3,3.28,3.35,2.31,3.24,3.37,1.99,1.93,-0.25,-0.25,2.23,1.72,2.5
F1,30/08/2020,20:00,Brest,Marseille,2,3,A,,,,3.67,3.26,2.23,2.01,1.89,0.25,0.25,2.41,1.63,2.5
F1,10/09/2020,20:00,Lens,Paris SG,1,0,H,4.7,3.99,1.71,4.79,3.6,1.8,1.83,2.05,0.75,0.75,2.06,1.81,2.5
F1,11/09/2020,20:00,Bordeaux,Lyon,0,0,D,4.5,3.61,1.88,4.1,3.49,2.01,1.84,2.06,0.5,0.5,2.1,1.81,2.5
F1,12/09/2020,16:00,Montpellier,Nice,3,1,H,2.25,3.35,3.52,2.11,3.41,3.91,2.11,1.83,-0.25,-0.5,2.33,1.67,2.5
F1,12/09/2020,20:00,St Etienne,Strasbourg,2,0,H,2.19,3.35,3.65,2.17,3.33,3.81,1.85,2.08,-0.25,-0.25,2.29,1.69,2.5
F1,13/09/2020,12:00,Lille,Metz,1,0,H,1.56,3.97,7.09,1.57,3.79,8.06,2.16,1.79,-1,-1,2.68,1.52,2.5
F1,13/09/2020,14:00,Angers,Reims,1,0,H,2.42,3.06,3.47,2.19,3.08,4.13,1.85,2.09,-0.25,-0.25,2.86,1.47,2.5
F1,13/09/2020,14:00,Dijon,Brest,0,2,A,2.59,3.22,3.03,2.79,3.38,2.72,1.98,1.94,-0.25,0,1.95,1.95,2.5
F1,13/09/2020,14:00,Lorient,Lens,2,3,A,2.2,3.41,3.57,2.31,3.2,3.61,1.96,1.96,-0.25,-0.25,2.35,1.66,2.5
F1,13/09/2020,14:00,Nimes,Rennes,2,4,A,3.43,3.35,2.28,3.33,3.3,2.39,1.89,2.04,0.25,0.25,2.2,1.74,2.5
F1,13/09/2020,16:00,Monaco,Nantes,2,1,H,1.95,3.64,4.13,1.88,3.6,4.69,1.88,2.05,-0.5,-0.5,2.03,1.88,2.5
F1,13/09/2020,20:00,Paris SG,Marseille,0,1,A,,,,1.41,5.51,7.39,2.04,1.88,-0.75,-1.5,1.55,2.61,2.5
F1,15/09/2020,20:00,Montpellier,Lyon,2,1,H,3.96,3.52,2.06,3.57,3.62,2.14,2.07,1.86,0.5,0.25,1.96,1.94,2.5
F1,16/09/2020,20:00,Paris SG,Metz,1,0,H,1.27,6.31,8.34,1.27,6.21,13.34,1.87,2.06,-1.75,-1.5,1.77,2.16,2.5
F1,17/09/2020,20:00,Marseille,St Etienne,0,2,A,2.04,3.42,4.02,1.86,3.51,4.93,1.86,2.07,-0.5,-0.5,2.3,1.68,2.5
F1,18/09/2020,20:00,Lyon,Nimes,0,0,D,1.33,5.82,9.99,1.27,6.54,11.75,1.71,2.27,-1.5,-1.5,1.47,2.83,2.5
F1,19/09/2020,16:00,Lens,Bordeaux,2,1,H,2.39,3.09,3.43,2.37,3.06,3.67,1.99,1.93,-0.25,-0.25,2.65,1.53,2.5
F1,19/09/2020,20:00,Rennes,Monaco,2,1,H,2.31,3.43,3.23,2.41,3.45,3.15,2.07,1.86,-0.25,-0.25,1.82,2.08,2.5
F1,20/09/2020,12:00,Nice,Paris SG,0,3,A,7.66,4.85,1.43,9.49,6,1.33,2.05,1.88,1.25,1.5,1.54,2.63,2.5
F1,20/09/2020,14:00,Brest,Lorient,3,2,H,2.4,3.26,3.22,2.39,3.4,3.23,2.05,1.88,-0.25,-0.25,1.96,1.94,2.5
F1,20/09/2020,14:00,Metz,Reims,2,1,H,2.69,2.88,3.17,3.01,2.88,2.92,1.99,1.93,0,0,2.92,1.45,2.5
F1,20/09/2020,14:00,Montpellier,Angers,4,1,H,2.14,3.38,3.69,2.03,3.4,4.24,2.03,1.9,-0.25,-0.5,2.37,1.65,2.5
F1,20/09/2020,14:00,Strasbourg,Dijon,1,0,H,1.7,3.87,5.34,1.61,4.16,6.13,2.07,1.86,-0.75,-1,1.94,1.96,2.5
F1,20/09/2020,16:00,Nantes,St Etienne,2,2,D,2.34,3.29,3.3,2.26,3.37,3.52,1.93,1.99,-0.25,-0.25,2.18,1.75,2.5
F1,20/09/2020,20:00,Marseille,Lille,1,1,D,2.39,3.27,3.25,2.47,3.21,3.27,2.09,1.85,-0.25,-0.25,2.27,1.7,2.5
F1,25/09/2020,20:00,Lille,Nantes,2,0,H,1.69,3.76,5.65,1.69,3.81,5.55,1.92,2,-0.75,-0.75,2.18,1.75,2.5
F1,26/09/2020,16:00,St Etienne,Rennes,0,3,A,2.93,3.18,2.65,3.33,3.22,2.43,1.87,2.06,0,0.25,2.08,1.84,2.5
F1,26/09/2020,20:00,Marseille,Metz,1,1,D,1.68,3.7,5.99,1.62,3.89,6.63,2.18,1.76,-0.75,-1,2.06,1.86,2.5
F1,27/09/2020,12:00,Bordeaux,Nice,0,0,D,2.21,3.2,3.72,2.13,3.39,3.88,1.82,2.12,-0.25,-0.25,2.12,1.79,2.5
F1,27/09/2020,14:00,Angers,Brest,3,2,H,2.12,3.29,3.87,2.2,3.32,3.74,1.88,2.05,-0.25,-0.25,2.04,1.87,2.5
F1,27/09/2020,14:00,Dijon,Montpellier,2,2,D,4.44,3.78,1.84,5.15,3.88,1.75,1.94,1.98,0.5,0.75,1.96,1.94,2.5
F1,27/09/2020,14:00,Monaco,Strasbourg,3,2,H,1.88,3.65,4.4,1.74,3.84,5.3,1.97,1.95,-0.5,-0.75,1.85,2.07,2.5
F1,27/09/2020,14:00,Nimes,Lens,1,1,D,2.76,3.33,2.7,3.57,3.34,2.26,2,1.93,0,0.25,2.05,1.86,2.5
F1,27/09/2020,16:00,Lorient,Lyon,1,1,D,5.49,4.24,1.62,5.15,4.2,1.69,2.04,1.88,1,0.75,1.78,2.14,2.5
F1,27/09/2020,20:00,Reims,Paris SG,0,2,A,11.39,6.33,1.27,14.75,7.48,1.21,1.98,1.93,1.75,2,1.41,3.04,2.5
F1,02/10/2020,20:00,Paris SG,Angers,6,1,H,1.09,11.75,27.98,1.09,11.94,25.33,1.82,2.04,-2.5,-2.75,1.19,4.8,2.5
F1,03/10/2020,16:00,Lens,St Etienne,2,0,H,2.08,3.51,3.89,1.86,3.66,4.7,1.86,2.07,-0.5,-0.5,1.98,1.93,2.5
F1,03/10/2020,20:00,Nice,Nantes,2,1,H,2.51,3.32,3.1,2.28,3.46,3.39,1.96,1.96,-0.25,-0.25,2.09,1.83,2.5
