Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
EC,21/08/2021,15:00,Aldershot,Chesterfield,0,2,A,3.57,3.63,2.02,4.19,3.79,1.83,2.03,1.83,0.25,0.5,1.89,1.94,2.5
EC,21/08/2021,15:00,Barnet,Notts County,0,5,A,4.22,3.96,1.78,4.55,3.97,1.74,1.9,1.95,0.75,0.75,1.73,2.13,2.5
EC,21/08/2021,15:00,Halifax,Maidenhead,1,2,A,2.09,3.62,3.38,1.99,3.51,3.89,1.99,1.87,-0.25,-0.5,1.88,1.96,2.5
EC,21/08/2021,15:00,Solihull,Wrexham,2,2,D,2.66,3.54,2.42,2.65,3.49,2.63,1.93,1.92,0,0,1.98,1.86,2.5
EC,21/08/2021,15:00,Stockport,Dag and Red,1,3,A,1.78,3.95,4.22,1.59,4.31,5.26,2.1,1.76,-0.75,-1,1.88,1.95,2.5
EC,21/08/2021,15:00,Torquay,Altrincham,1,3,A,1.63,3.91,4.84,1.92,3.57,4.08,1.92,1.93,-0.75,-0.5,1.86,1.97,2.5
EC,21/08/2021,15:00,Wealdstone,Woking,1,2,A,2.94,3.6,2.31,3.7,3.5,2.04,2.11,1.76,0.25,0.25,1.9,1.93,2.5
EC,21/08/2021,15:00,Weymouth,Boreham Wood,0,2,A,3.05,3.81,2.17,3.67,3.66,2,2.15,1.73,0.25,0.25,1.99,1.85,2.5
EC,28/08/2021,15:00,Boreham Wood,Aldershot,1,0,H,1.74,3.8,4.66,1.85,3.49,4.51,2.14,1.74,-0.75,-0.75,2.05,1.8,2.5
EC,28/08/2021,15:00,Chesterfield,Wealdstone,2,0,H,1.29,5.4,10.4,1.34,5.14,9.08,2.02,1.84,-1.5,-1.5,1.66,2.25,2.5
EC,28/08/2021,15:00,Dag and Red,Bromley,4,2,H,2.34,3.31,3.12,2.14,3.61,3.32,1.86,2,-0.25,-0.25,1.96,1.88,2.5
EC,28/08/2021,15:00,Eastleigh,Wrexham,0,2,A,3.45,3.24,2.21,3.46,3.21,2.25,1.93,1.92,0.25,0.25,2.18,1.7,2.5
EC,28/08/2021,15:00,Grimsby,Weymouth,1,0,H,1.49,4.26,6.98,1.52,4.08,6.83,1.93,1.92,-1,-1,1.95,1.88,2.5
EC,28/08/2021,15:00,Maidenhead,Dover Athletic,2,0,H,2.07,3.5,3.54,1.7,4.11,4.58,1.93,1.92,-0.25,-0.75,1.85,1.99,2.5
EC,28/08/2021,15:00,Notts County,Torquay,1,1,D,2,3.18,4.22,1.81,3.74,4.38,1.81,2.05,-0.5,-0.5,1.85,1.99,2.5
EC,28/08/2021,15:00,Solihull,Barnet,1,1,D,1.67,3.89,5.02,1.52,4.39,6.08,1.89,1.96,-0.75,-1,1.71,2.16,2.5
EC,28/08/2021,15:00,Woking,Halifax,2,3,A,2.49,3.31,2.89,2.1,3.52,3.52,1.81,2.05,0,-0.25,1.93,1.9,2.5
EC,28/08/2021,17:20,Southend,Stockport,0,1,A,2.77,3.36,2.56,3.02,3.28,2.45,2.15,1.73,0,0,2.32,1.63,2.5
EC,30/08/2021,15:00,Aldershot,Yeovil,1,2,A,2.57,3.47,2.68,2.19,3.4,3.39,1.88,1.96,0,-0.25,1.84,2,2.5
