Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
N1,02/08/2019,19:00,Zwolle,Willem II,1,3,A,2.07,3.83,3.44,2.32,3.63,3.04,2.02,1.88,-0.25,-0.25,1.73,2.19,2.5
N1,03/08/2019,17:30,FC Emmen,Groningen,0,1,A,3.12,3.5,2.33,2.68,3.39,2.73,1.93,1.97,0.25,0,1.99,1.89,2.5
N1,03/08/2019,17:30,Vitesse,Ajax,2,2,D,5.91,4.84,1.51,6,4.79,1.51,2.1,1.81,1.25,1,1.41,3,2.5
N1,03/08/2019,19:45,Twente,PSV Eindhoven,1,1,D,7.57,4.97,1.41,6.75,4.64,1.48,2.15,1.77,1.25,1,1.58,2.48,2.5
N1,03/08/2019,19:45,VVV Venlo,Waalwijk,3,1,H,1.88,3.8,4.14,1.87,3.92,4.07,2.12,1.79,-0.75,-0.75,1.65,2.33,2.5
N1,04/08/2019,11:15,Heracles,Heerenveen,0,4,A,2.06,3.93,3.38,2.15,3.83,3.23,1.89,2.01,-0.25,-0.25,1.53,2.58,2.5
N1,04/08/2019,13:30,Feyenoord,Sparta Rotterdam,2,2,D,1.28,6.41,9.63,1.34,5.8,8.17,1.99,1.91,-1.75,-1.5,,,2.5
N1,04/08/2019,15:45,Den Haag,Utrecht,2,4,A,3.39,3.72,2.12,3.58,3.93,2,1.9,2,0.25,0.5,1.63,2.35,2.5
N1,04/08/2019,19:00,AZ Alkmaar,For Sittard,4,0,H,1.28,6.12,10.52,1.25,6.74,10.73,2.1,1.81,-1.75,-2,1.33,3.46,2.5
N1,09/08/2019,19:00,Sparta Rotterdam,VVV Venlo,4,1,H,2,3.92,3.61,1.7,4.1,4.89,1.91,1.99,-0.5,-0.75,1.65,2.31,2.5
N1,10/08/2019,17:30,Groningen,Twente,1,3,A,1.99,3.64,3.92,2.12,3.49,3.62,1.83,2.07,-0.5,-0.25,2.04,1.84,2.5
N1,10/08/2019,18:45,Ajax,FC Emmen,5,0,H,1.09,11.58,29.61,1.06,14.73,37.66,1.93,1.96,-2.75,-3.25,1.18,4.95,2.5
N1,10/08/2019,19:45,Willem II,Vitesse,0,2,A,2.93,3.62,2.4,2.93,3.6,2.4,1.82,2.09,0.25,0.25,1.67,2.29,2.5
N1,11/08/2019,11:15,For Sittard,Heracles,1,1,D,2.41,3.8,2.81,2.43,3.87,2.74,2.13,1.78,-0.25,-0.25,1.51,2.66,2.5
N1,11/08/2019,13:30,Heerenveen,Feyenoord,1,1,D,3.58,4.2,1.93,4.57,4.5,1.68,2.04,1.86,0.5,0.75,1.52,2.63,2.5
N1,11/08/2019,13:30,Waalwijk,AZ Alkmaar,0,2,A,5.42,4.38,1.6,8.13,5.86,1.34,2.04,1.85,1,1.5,1.53,2.59,2.5
N1,11/08/2019,15:45,Utrecht,Zwolle,3,1,H,1.51,4.59,6.3,1.36,5.51,8.01,1.97,1.93,-1,-1.5,1.52,2.64,2.5
N1,11/08/2019,19:00,PSV Eindhoven,Den Haag,3,1,H,1.14,8.87,19.32,1.15,8.68,18.88,2.08,1.82,-2.5,-2.5,,,2.5
N1,16/08/2019,19:00,Vitesse,Zwolle,3,0,H,1.33,5.83,8.63,1.37,5.31,7.94,2.08,1.83,-1.5,-1.5,1.52,2.64,2.5
N1,17/08/2019,17:30,Den Haag,Sparta Rotterdam,1,2,A,2.81,3.71,2.45,3.3,3.94,2.09,2.06,1.84,0.25,0.25,1.49,2.71,2.5
N1,17/08/2019,17:30,VVV Venlo,Ajax,1,4,A,15.04,8.26,1.17,17.7,9.54,1.14,1.96,1.93,2.25,2.5,1.24,4.22,2.5
N1,17/08/2019,19:45,FC Emmen,Heerenveen,2,0,H,2.8,3.78,2.42,2.85,3.71,2.42,1.8,2.11,0.25,0.25,1.64,2.34,2.5
