Div,DateTime,HomeTeam,AwayTeam
SC3,16.04.2022 14:00,Cowdenbeath,Edinburgh City
SC3,16.04.2022 14:00,Forfar Athletic,Annan Athletic
SC3,16.04.2022 14:00,Stenhousemuir,Albion Rovers
SC3,16.04.2022 14:00,Stirling Albion,Elgin City
SC3,16.04.2022 14:00,Stranraer,Kelty Hearts
SC3,22.04.2022 18:45,Edinburgh City,Annan Athletic
SC3,23.04.2022 14:00,Albion Rovers,Stirling Albion
SC3,23.04.2022 14:00,Elgin City,Cowdenbeath
SC3,23.04.2022 14:00,Kelty Hearts,Forfar Athletic
SC3,23.04.2022 14:00,Stenhousemuir,Stranraer
SC3,30.04.2022 14:00,Annan Athletic,Kelty Hearts
SC3,30.04.2022 14:00,Cowdenbeath,Albion Rovers
SC3,30.04.2022 14:00,Forfar Athletic,Stenhousemuir
SC3,30.04.2022 14:00,Stirling Albion,Edinburgh City
SC3,30.04.2022 14:00,Stranraer,Elgin City
