Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
SC3,31/07/2021,15:00,Albion Rvs,Edinburgh City,2,0,H,4.34,4.02,1.7,3.96,3.44,1.99,1.86,1.99,0.75,0.5,1.67,2.21,2.5
SC3,31/07/2021,15:00,Annan Athletic,Forfar,0,2,A,2.72,3.81,2.32,2.68,3.4,2.65,1.93,1.92,0.25,0,1.74,2.1,2.5
SC3,31/07/2021,15:00,Elgin,Stranraer,1,1,D,2.86,3.87,2.21,2.57,3.78,2.56,1.93,1.93,0.25,0,1.71,2.13,2.5
SC3,31/07/2021,15:00,Kelty Hearts,Cowdenbeath,2,0,H,1.36,4.82,7.97,1.39,4.83,8.01,1.8,2.03,-1.25,-1.25,1.72,2.12,2.5
SC3,31/07/2021,15:00,Stenhousemuir,Stirling,0,1,A,3.16,3.91,2.04,3.13,3.97,2.11,2,1.86,0.25,0.25,1.71,2.13,2.5
SC3,07/08/2021,15:00,Albion Rvs,Stenhousemuir,2,2,D,2.64,3.66,2.52,2.58,3.85,2.51,1.95,1.9,0,0,1.75,2.08,2.5
SC3,07/08/2021,15:00,Cowdenbeath,Elgin,3,1,H,2.65,3.7,2.49,2.75,3.69,2.44,1.75,2.11,0,0.25,1.83,2.01,2.5
SC3,07/08/2021,15:00,Forfar,Edinburgh City,2,0,H,2.25,3.77,2.94,2.33,3.75,2.86,2.04,1.83,-0.25,-0.25,1.68,2.18,2.5
SC3,07/08/2021,15:00,Stirling,Kelty Hearts,1,3,A,3.43,3.61,2.07,3.36,3.56,2.14,2,1.85,0.25,0.25,1.88,1.95,2.5
SC3,07/08/2021,15:00,Stranraer,Annan Athletic,0,3,A,1.74,3.65,4.92,1.75,3.65,4.91,1.97,1.88,-0.75,-0.75,1.92,1.92,2.5
SC3,13/08/2021,19:45,Edinburgh City,Stenhousemuir,1,0,H,2.15,3.52,3.33,2.1,3.58,3.4,1.83,2.04,-0.25,-0.25,1.77,2.05,2.5
SC3,14/08/2021,15:00,Annan Athletic,Stirling,3,1,H,3.16,3.59,2.15,3.16,3.64,2.18,1.94,1.91,0.25,0.25,1.88,1.96,2.5
SC3,14/08/2021,15:00,Elgin,Albion Rvs,3,0,H,1.99,3.7,3.45,1.79,3.95,4.15,1.78,2.06,-0.25,-0.5,1.69,2.17,2.5
SC3,14/08/2021,15:00,Forfar,Kelty Hearts,2,2,D,3.73,4.33,1.77,4.65,4.5,1.62,2.06,1.81,0.75,0.75,1.76,2.06,2.5
SC3,21/08/2021,15:00,Albion Rvs,Annan Athletic,0,1,A,2.63,3.33,2.36,3.04,3.72,2.14,1.95,1.9,0,0.25,1.68,2.2,2.5
SC3,21/08/2021,15:00,Elgin,Forfar,1,1,D,2.4,3.34,2.57,2.36,3.45,2.86,1.74,2.12,0,0,1.7,2.16,2.5
SC3,21/08/2021,15:00,Kelty Hearts,Edinburgh City,1,0,H,1.42,4.54,6.54,1.4,4.83,6.99,1.93,1.92,-1.25,-1.25,1.63,2.27,2.5
SC3,21/08/2021,15:00,Stenhousemuir,Cowdenbeath,1,1,D,2.16,3.45,3.07,2.23,3.3,3.2,1.93,1.92,-0.25,-0.25,2.01,1.83,2.5
SC3,21/08/2021,15:00,Stranraer,Stirling,0,3,A,2.29,3.35,2.92,2.8,3.65,2.31,2.11,1.74,0,0,1.84,2,2.5
SC3,27/08/2021,19:45,Edinburgh City,Elgin,2,0,H,2.52,3.38,2.69,2.71,3.42,2.48,2.01,1.85,0,0,1.72,2.12,2.5
SC3,28/08/2021,15:00,Cowdenbeath,Annan Athletic,1,3,A,1.92,3.49,3.7,2.06,3.74,3.21,2.05,1.79,-0.5,-0.5,1.88,1.95,2.5
SC3,28/08/2021,15:00,Forfar,Stranraer,1,1,D,1.84,3.9,3.78,1.69,3.84,4.7,1.92,1.93,-0.5,-0.75,1.77,2.05,2.5
SC3,28/08/2021,15:00,Stenhousemuir,Kelty Hearts,1,4,A,5.49,4.01,1.55,7.21,4.37,1.44,1.86,1.99,1,1.25,1.68,2.19,2.5
SC3,28/08/2021,15:00,Stirling,Albion Rvs,2,1,H,1.52,4.16,5.5,1.54,4.24,5.57,1.93,1.92,-1,-1,1.64,2.26,2.5
SC3,31/08/2021,19:45,Cowdenbeath,Stranraer,1,2,A,2.47,3.3,2.7,2.31,3.32,3.04,2.01,1.85,0,-0.25,1.93,1.9,2.5
SC3,11/09/2021,15:00,Albion Rvs,Cowdenbeath,2,1,H,2.28,3.49,2.84,2.47,3.61,2.61,1.88,1.98,-0.25,0,1.79,2.02,2.5
SC3,11/09/2021,15:00,Annan Athletic,Stenhousemuir,1,2,A,2.02,3.36,3.19,2.22,3.33,3.19,1.93,1.92,-0.5,-0.25,1.86,1.98,2.5
SC3,11/09/2021,15:00,Kelty Hearts,Elgin,1,1,D,1.31,4.86,7.34,1.31,5.46,8.83,1.89,1.96,-1.5,-1.5,1.52,2.49,2.5
SC3,11/09/2021,15:00,Stirling,Forfar,1,0,H,2.07,3.37,3.07,2.35,3.34,2.95,2.05,1.82,-0.25,-0.25,1.87,1.96,2.5
SC3,11/09/2021,15:00,Stranraer,Edinburgh City,0,1,A,2.68,3.5,2.39,2.62,3.79,2.39,2.02,1.84,0,0,1.79,2.01,2.5
SC3,17/09/2021,19:45,Edinburgh City,Stirling,2,2,D,2.63,3.48,2.52,2.84,3.33,2.43,2.09,1.78,0,0,1.96,1.88,2.5
SC3,18/09/2021,15:00,Albion Rvs,Kelty Hearts,0,3,A,6.05,4.39,1.46,7.8,4.8,1.38,2.04,1.82,1,1.25,1.58,2.34,2.5
SC3,18/09/2021,15:00,Cowdenbeath,Forfar,1,1,D,2.99,3.29,2.14,3.38,3.49,2.07,2.05,1.82,0.25,0.25,1.89,1.94,2.5
SC3,18/09/2021,15:00,Elgin,Annan Athletic,0,2,A,1.9,3.77,3.47,2.7,3.49,2.45,2.03,1.83,-0.5,0,1.71,2.13,2.5
SC3,18/09/2021,15:00,Stranraer,Stenhousemuir,2,0,H,2.04,3.51,3.29,2.32,3.33,3,2.02,1.84,-0.25,-0.25,1.91,1.93,2.5
SC3,25/09/2021,15:00,Annan Athletic,Edinburgh City,1,3,A,2.03,3.71,3.16,1.93,3.76,3.54,1.94,1.91,-0.25,-0.5,1.78,2.03,2.5
SC3,25/09/2021,15:00,Forfar,Albion Rvs,3,1,H,1.6,3.87,4.51,1.55,4.39,5.19,1.96,1.89,-1,-1,1.66,2.22,2.5
SC3,25/09/2021,15:00,Kelty Hearts,Stranraer,1,0,H,1.37,4.74,7.28,1.35,5.1,7.98,1.99,1.87,-1.25,-1.5,1.64,2.27,2.5
SC3,25/09/2021,15:00,Stenhousemuir,Elgin,1,2,A,2.68,3.6,2.34,2.31,3.57,2.85,2.03,1.83,0,-0.25,1.76,2.07,2.5
SC3,25/09/2021,15:00,Stirling,Cowdenbeath,4,0,H,1.48,4.01,5.47,1.62,4.02,5.06,1.81,2.06,-1,-0.75,1.89,1.94,2.5
SC3,01/10/2021,19:45,Edinburgh City,Cowdenbeath,1,1,D,1.97,3.79,3.4,1.77,3.88,4.14,1.76,2.08,-0.5,-0.5,1.83,2.01,2.5
SC3,02/10/2021,15:00,Elgin,Stirling,0,2,A,2.82,3.5,2.28,3.18,3.71,2.08,2.02,1.84,0.25,0.25,1.64,2.27,2.5
SC3,02/10/2021,15:00,Kelty Hearts,Annan Athletic,2,1,H,1.49,4.65,5.17,1.53,4.46,5.37,1.87,1.98,-1,-1,1.64,2.26,2.5
SC3,02/10/2021,15:00,Stenhousemuir,Forfar,1,1,D,3.2,3.77,2,3.78,3.97,1.82,2.03,1.83,0.25,0.5,1.71,2.13,2.5
SC3,02/10/2021,15:00,Stranraer,Albion Rvs,1,0,H,1.99,3.49,3.46,1.74,4.02,4.19,1.97,1.88,-0.5,-0.75,1.76,2.07,2.5
SC3,15/10/2021,19:45,Edinburgh City,Kelty Hearts,2,3,A,8.73,4.86,1.32,11.32,5.35,1.27,2.05,1.82,1.5,1.5,1.65,2.25,2.5
SC3,16/10/2021,15:00,Albion Rvs,Elgin,2,0,H,2.63,3.57,2.39,2.95,3.49,2.28,1.85,2,0,0.25,1.78,2.04,2.5
SC3,16/10/2021,15:00,Cowdenbeath,Stenhousemuir,0,2,A,2.33,3.26,2.71,2.34,3.44,2.88,2.05,1.82,0,-0.25,1.92,1.92,2.5
SC3,16/10/2021,15:00,Forfar,Annan Athletic,2,0,H,1.77,3.57,3.83,1.86,3.5,4.14,1.87,1.99,-0.5,-0.5,1.76,2.06,2.5
SC3,16/10/2021,15:00,Stirling,Stranraer,1,1,D,1.74,3.8,4.18,1.91,3.71,3.68,1.92,1.93,-0.75,-0.5,1.71,2.14,2.5
SC3,30/10/2021,15:00,Annan Athletic,Cowdenbeath,1,0,H,1.7,3.68,4.08,1.9,3.74,3.69,1.91,1.94,-0.75,-0.5,1.87,1.96,2.5
SC3,30/10/2021,15:00,Kelty Hearts,Stirling,1,1,D,1.55,3.86,4.98,1.58,4.05,5.34,2.02,1.83,-0.75,-1,1.75,2.08,2.5
SC3,30/10/2021,15:00,Stranraer,Forfar,2,3,A,2.9,3.42,2.27,2.73,3.25,2.57,1.99,1.87,0.25,0,1.9,1.93,2.5
