Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
SC3,03/08/2019,15:00,Brechin,Annan Athletic,0,1,A,2.46,3.67,2.77,3.22,3.58,2.22,1.95,1.93,0,0.25,1.9,1.96,2.5
SC3,03/08/2019,15:00,Cove Rangers,Edinburgh City,5,0,H,2.17,3.86,3.12,2.16,3.79,3.19,1.89,1.99,-0.25,-0.25,1.06,1.81,2.5
SC3,03/08/2019,15:00,Elgin,Cowdenbeath,3,0,H,1.96,4.31,3.36,1.95,4.07,3.57,1.95,1.93,-0.5,-0.5,1.78,2.1,2.5
SC3,03/08/2019,15:00,Stenhousemuir,Albion Rvs,2,3,A,1.66,4.13,5.01,1.72,3.94,4.77,1.96,1.92,-0.75,-0.75,1.69,2.23,2.5
SC3,03/08/2019,15:00,Stirling,Queens Park,0,1,A,2.29,3.48,3.16,2.88,3.31,2.56,2.06,1.83,-0.25,0,2.04,1.83,2.5
SC3,10/08/2019,15:00,Albion Rvs,Cove Rangers,4,4,D,4.61,4.13,1.71,5.39,4.53,1.56,1.94,1.94,0.75,1,1.61,2.38,2.5
SC3,10/08/2019,15:00,Annan Athletic,Elgin,1,1,D,1.85,4.45,3.61,2.1,4.03,3.17,1.85,2.03,-0.5,-0.25,1.61,2.37,2.5
SC3,10/08/2019,15:00,Cowdenbeath,Stirling,1,0,H,2.77,3.47,2.56,2.56,3.66,2.66,1.9,1.98,0,0,1.88,1.98,2.5
SC3,10/08/2019,15:00,Edinburgh City,Brechin,2,1,H,1.9,4.02,3.78,1.78,4.25,4.08,2.03,1.85,-0.5,-0.75,1.76,2.12,2.5
SC3,10/08/2019,15:00,Queens Park,Stenhousemuir,1,1,D,2.31,3.55,3.06,2.16,3.84,3.16,1.9,1.98,-0.25,-0.25,1.79,2.07,2.5
SC3,17/08/2019,15:00,Annan Athletic,Albion Rvs,3,2,H,1.83,3.98,4.11,1.84,4.24,3.82,1.84,2.04,-0.75,-0.5,1.67,2.26,2.5
SC3,17/08/2019,15:00,Brechin,Queens Park,0,3,A,2.77,3.76,2.42,3.79,4.12,1.88,2,1.88,0,0.5,1.85,2.01,2.5
SC3,17/08/2019,15:00,Cove Rangers,Cowdenbeath,3,2,H,1.52,4.82,5.48,1.3,6.4,8.17,1.83,2.06,-1,-1.5,1.42,2.94,2.5
SC3,17/08/2019,15:00,Edinburgh City,Stirling,1,0,H,1.65,4.18,5,1.73,3.9,4.77,1.95,1.93,-0.75,-0.75,1.83,2.04,2.5
SC3,17/08/2019,15:00,Elgin,Stenhousemuir,0,1,A,2.26,4.36,2.71,2.15,4.3,2.91,1.93,1.96,-0.25,-0.25,1.56,2.48,2.5
SC3,24/08/2019,15:00,Albion Rvs,Brechin,0,1,A,2.16,4.03,3.03,2.08,3.85,3.34,1.82,2.06,-0.25,-0.25,1.65,2.3,2.5
SC3,24/08/2019,15:00,Cowdenbeath,Annan Athletic,3,1,H,3.01,3.69,2.29,3.34,3.77,2.1,2.04,1.84,0.25,0.25,1.78,2.09,2.5
SC3,24/08/2019,15:00,Queens Park,Elgin,0,0,D,1.95,4.37,3.35,1.71,4.56,4.15,1.94,1.94,-0.5,-0.75,1.68,2.23,2.5
SC3,24/08/2019,15:00,Stenhousemuir,Edinburgh City,1,3,A,2.87,3.7,2.37,2.5,3.35,2.93,1.79,2.1,0.25,0,1.89,1.97,2.5
SC3,24/08/2019,15:00,Stirling,Cove Rangers,1,2,A,5,4.15,1.66,5.53,4.73,1.53,1.97,1.92,0.75,1,1.55,2.52,2.5
SC3,31/08/2019,15:00,Albion Rvs,Stirling,2,1,H,2.74,3.48,2.57,2.43,3.54,2.89,1.78,2.12,0,0,1.87,1.99,2.5
SC3,31/08/2019,15:00,Annan Athletic,Stenhousemuir,1,1,D,2.06,3.8,3.43,2.1,3.68,3.4,1.83,2.05,-0.25,-0.25,1.68,2.24,2.5
SC3,31/08/2019,15:00,Cove Rangers,Queens Park,3,0,H,1.64,4.41,4.79,1.76,4.2,4.25,1.98,1.9,-0.75,-0.75,1.64,2.32,2.5
SC3,31/08/2019,15:00,Cowdenbeath,Brechin,2,1,H,2.36,3.59,2.96,2.1,3.72,3.39,1.83,2.05,-0.25,-0.25,1.73,2.16,2.5
