Div,DateTime,HomeTeam,AwayTeam
SC0,23.04.2022 14:00,St. Mirren,Hibernian
SC0,23.04.2022 14:00,Dundee,St. Johnstone
SC0,23.04.2022 14:00,Aberdeen,Livingston
SC0,24.04.2022 11:00,Motherwell,Rangers
SC0,24.04.2022 13:30,Ross County,Celtic
SC0,24.04.2022 14:00,Dundee United,Hearts
SC0,30.04.2022 14:00,St. Johnstone,St. Mirren
SC0,30.04.2022 14:00,Livingston,Hibernian
SC0,30.04.2022 14:00,Aberdeen,Dundee
SC0,30.04.2022 14:00,Dundee United,Motherwell
SC0,30.04.2022 14:00,Hearts,Ross County
SC0,01.05.2022 11:00,Celtic,Rangers
SC0,07.05.2022 11:00,Celtic,Hearts
SC0,07.05.2022 14:00,Ross County,Motherwell
SC0,07.05.2022 14:00,Hibernian,Aberdeen
SC0,07.05.2022 14:00,Livingston,St. Johnstone
SC0,07.05.2022 14:00,St. Mirren,Dundee
SC0,08.05.2022 14:00,Rangers,Dundee United
SC0,10.05.2022 18:45,Dundee,Hibernian
SC0,11.05.2022 18:30,Dundee United,Celtic
SC0,11.05.2022 18:45,St. Mirren,Livingston
SC0,11.05.2022 18:45,St. Johnstone,Aberdeen
SC0,11.05.2022 18:45,Rangers,Ross County
SC0,11.05.2022 18:45,Motherwell,Hearts
SC0,14.05.2022 11:15,Ross County,Dundee United
SC0,14.05.2022 11:15,Celtic,Motherwell
SC0,14.05.2022 11:15,Hearts,Rangers
SC0,15.05.2022 11:00,Aberdeen,St. Mirren
SC0,15.05.2022 11:00,Hibernian,St. Johnstone
SC0,15.05.2022 11:00,Livingston,Dundee
